result_id|test_id|sample_size_mean_op|sample_size_mean|sample_size_min_op|sample_size_min|sample_size_max_op|sample_size_max|sample_size_unit|sample_size_comments|obs_duration_mean_op|obs_duration_mean|obs_duration_min_op|obs_duration_min|obs_duration_max_op|obs_duration_max|obs_duration_unit|obs_duration_comments|endpoint|endpoint_comments|trend|effect|effect_comments|measurement|measurement_comments|response_site|response_site_comments|effect_pct_mean_op|effect_pct_mean|effect_pct_min_op|effect_pct_min|effect_pct_max_op|effect_pct_max|effect_pct_comments|conc1_type|ion1|conc1_mean_op|conc1_mean|conc1_min_op|conc1_min|conc1_max_op|conc1_max|conc1_unit|conc1_comments|conc2_type|ion2|conc2_mean_op|conc2_mean|conc2_min_op|conc2_min|conc2_max_op|conc2_max|conc2_unit|conc2_comments|conc3_type|ion3|conc3_mean_op|conc3_mean|conc3_min_op|conc3_min|conc3_max_op|conc3_max|conc3_unit|conc3_comments|bcf1_mean_op|bcf1_mean|bcf1_min_op|bcf1_min|bcf1_max_op|bcf1_max|bcf1_unit|bcf1_comments|bcf2_mean_op|bcf2_mean|bcf2_min_op|bcf2_min|bcf2_max_op|bcf2_max|bcf2_unit|bcf2_comments|bcf3_mean_op|bcf3_mean|bcf3_min_op|bcf3_min|bcf3_max_op|bcf3_max|bcf3_unit|bcf3_comments|significance_code|significance_type|significance_level_mean_op|significance_level_mean|significance_level_min_op|significance_level_min|significance_level_max_op|significance_level_max|significance_comments|chem_analysis_method|chem_analysis_method_comments|endpoint_assigned|organism_final_wt_mean_op|organism_final_wt_mean|organism_final_wt_min_op|organism_final_wt_min|organism_final_wt_max_op|organism_final_wt_max|organism_final_wt_unit|organism_final_wt_comments|intake_rate_mean_op|intake_rate_mean|intake_rate_min_op|intake_rate_min|intake_rate_max_op|intake_rate_max|intake_rate_unit|intake_rate_comments|lipid_pct_mean_op|lipid_pct_mean|lipid_pct_min_op|lipid_pct_min|lipid_pct_max_op|lipid_pct_max|lipid_pct_comments|dry_wet|dry_wet_pct_mean_op|dry_wet_pct_mean|dry_wet_pct_min_op|dry_wet_pct_min|dry_wet_pct_max_op|dry_wet_pct_max|dry_wet_pct_comments|steady_state|additional_comments|companion_tag|created_date|modified_date|old_terretox_result_number
89149|1171505||NC||NC||NC|NC|||24||NR||NR|h||NR||NR|BEH/|/|EQUL||NR|||NR||NR||NR||F|NR||10000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| AERATED//TESTED IN POLYETHYLENE BAGS//CONC/ONLY CONC TESTED//EFCT/LOSS OF EQUILIB OCCURRED IN 0-1 H// ||06/06/1986|08/08/1986|
89630|1171654||NC||NC||NC|NC|||24||NR||NR|h||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||T|Li||1600*||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/DEATH OCCURRED IN 2.5-6.5 H//||06/06/1986|08/08/1986|
90178|1137003||NR||NR||NR|NR|||24||NR||NR|h||EC50||DEC|POP||PGRT||NR|||NR||NR||NR||F|NR||100||NR||NR|mg/L||||||||||||||||||||||||||||--||||||||||||||||||NA|NA||NA||NA||NA||U||P||NR||NR||NR|NR|||NR||NR||NR|NR|||NR||NR||NR||NR||NR||NR||NR||NR| ||08/08/1986|11/09/2021|
92640|1139654||NC||NC||NC|NC|||7||NR||NR|d||NR||NR|BCM/|/|HEMT||NR|||NR||NR||NR||A|NR||2000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/ONLY CONC TESTED//EFCT/CHGS IN HEMOCHEMISTRY, P < 0.001// ||11/03/1986||
93792|1172799||NC||NC||NC|NC|||24||NR||NR|h||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||F|NR||10000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| AERATED//TESTED IN POLYETHYLENE BAGS//CONC/ONLY CONC TESTED//EFCT/DEATH OCCURRED IN 4-6 H//SPEC/STEELHEAD//-4 H// ||06/06/1986|01/27/1987|
93978|1139915||NC||NC||NC|NC|||NR||12||14|d||EC50/|/|NR|GRO||GGRO||NR|||NR||NR||NR||A|NR|>|10000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ENDPT/GRO YIELD//CONC/HIGHEST CONC TESTED// ||01/27/1987||
93987|1139924||NC||NC||NC|NC|||5||NR||NR|h||EC50||NR|PHY||NFIX||NR|||NR||NR||NR||A|NR|>|100000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/HIGHEST CONC TESTED// ||01/27/1987||
94178|1132762||NC||NC||NC|NC|||120||NR||NR|d||NR||NR|PHY/|/|GPHY||NR|||NR||NR||NR||T|Cu||100||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/NO SIG SUPPRESSION OF HUMORAL IMMUNE RESPONSE WHEN INJ WITH HUMAN RED BLOOD CELLS//||01/27/1987||
95619|1135426||NC||NC||NC|NC|||96||NR||NR|h||LC100||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||100000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||05/01/1987||
95713|1184951||NC||NC||NC|NC|||96||NR||NR|h||NR||DEC|GRO||GGRO/|WT//|NR|||NR||NR||NR||T|N||NR||5000||45000|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||07/16/1996||
96318|1180405||NC||NC||NC|NC|||48||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||132000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||05/01/1987||
96370|1180440||NC||NC||NC|NC|||48||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||220000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||05/01/1987||
96778|1027209||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||2900||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||09/10/1992|05/05/1994|
96907|1185857||NC||NC||NC|NC|||7||NR||NR|d||NOEC||INC|MOR||MORT||NR|||NR||NR||NR||T|NR||4000000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NOSIG|A||0.05||NR||NR||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||08/16/1996|09/04/1996|
97070|1173260||NC||NC||NC|NC|||24||NR||NR|h||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||F|NR||10000||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| AERATED//TESTED IN POLYETHYLENE BAGS//CONC/ONLY CONC TESTED//EFCT/NEITHER LOSS OF EQUILIB NOR DEATH OCCURRED// ||06/06/1986|05/01/1987|
97612|1140963||NC||NC||NC|NC|||NR||NR||NR|NR||NR||NR|POP/|/|GPOP||NR|||NR||NR||NR||T|Mn||600||NR||NR|uM|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/REDUCED CELL VOL, NEF GRO RATE//||11/27/1987||
99886|1148819||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|NR||96120||93730||98570|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/AS NI// ||02/04/1988||
100102|1149015||NC||NC||NC|NC|||48||NR||NR|h||LC50||INC|MOR||MORT||NR|||NR||NR||NR||A|NR||6900||NR||NR|ug/L|/||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||P||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/ENDPOINT BASED ON MEASURED CONCENTRATIONS, NOT REPORTED IN PAPER//NA/0.50 MG/L//CA/1.2 MG/L//POT/0.13 MG/L//||02/04/1988|10/29/2009|
100797|1140828||NC||NC||NC|NC|||4||NR||NR|d||EC50||NR|GRO||GGRO||NR|||NR||NR||NR||T|NR|>|60000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/04/1988||
100920|1149626||NC||NC||NC|NC|||24||NR||NR|h||BCF||NR|ACC||RSDE||NR|||NR||NR||NR||A|NR||40.1||NR||NR|ug/L|||||||||||||||||||||||323.97||NR||NR|L/kg||||||||||||||||||NA|NA||NA||NA||NA||M/|/|NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CONC/NOM CONC 42.3 UG/L// ||02/04/1988||
101776|1140387||NC||NC||NC|NC|||72||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||20910||17190||25450|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||09/26/1988||
102912|1152136||NC||NC||NC|NC|||96||NR||NR|h||LC50/|/|NR|MOR||MORT||NR|||NR||NR||NR||T|Cd||23||1||37|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ENDPT/CALCULATED VALUE//||02/07/1989||
103359|1057692||NC||NC||NC|NC|||48||NR||NR|h||EC50||NR|BEH||EQUL||NR|||NR||NR||NR||A|NR||86||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NR||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| O EFCT CONT/COEFFICIENTS, 96 H EC50, HEXANAL, VANILLIN// ||08/07/1995|09/14/1995|
103549|1146241||NC||NC||NC|NC|||15||NR||NR|d||NR||NR|BCM/|/|HEMT||NR|||NR||NR||NR||A|NR||484||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/CHANGES IN HEMATOLOGICAL PARAMETERS, P < 0.05// ||02/07/1989||
103964|1152903||NC||NC||NC|NC|||12||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||130||126||134|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/07/1989||
103970|1152580||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|Cu||2050||1660||2520|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/07/1989||
104371|1153154||NC||NC||NC|NC|||3||NR||NR|d||BCFD||NR|ACC||RSDE||NR|||NR||NR||NR||F|NR||10000||NR||NR|ug/L|||||||||||||||||||||||6||NR||NR|L/kg||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/07/1989|04/26/2012|
104579|1151732||NC||NC||NC|NC|||96||NR||NR|h||LC50||INC|MOR||MORT/|TLM//|NR|||NR||NR||NR||A|NR||NR||400||800|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||R||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||08/25/1989|06/19/2003|
106398|1080274||NC||NC||NC|NC|||NR||2||336|h||EC50*||NR|ENZ/|/|GENZ||NR|||NR||NR||NR||T|NR||36100||NR||NR|M|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/ACHE IN HEART// ||12/23/1991|01/08/1992|
107022|1141866||NC||NC||NC|NC|||384||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|Cr||3800||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||03/12/1992|08/24/1993|
108425|1049677||NC||NC||NC|NC|||50||NR||NR|d||BCF||NR|ACC/|/|RSDE||NR|||NR||NR||NR||T|NR||3.7||NR||NR|kBq/L|||||||||||||||||||||||72.6||NR||NR|L/kg||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/DIGESTIVE GLAND, STOMACH// ||05/12/1992||
108479|1107540||NC||NC||NC|NC|||NR||2||45|d||BCF||NR|ACC/|/|RSDE||NR|||NR||NR||NR||T|TBTO||0.141||NR||NR|ug/L|||||||||||||||||||||||3100||NR||NR|L/kg||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/VISCERA//||05/12/1992|06/03/1992|
108639|1085583||NC||NC||NC|NC|||96||NR||NR|h||NR||NR|PHY/|/|GPHY||NR|||NR||NR||NR||F|NR||NR||100000||5000000|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/CHANGES IN ADDUCTOR MUSCLE CONTRACTIONS// ||07/16/1992|07/17/1992|
108648|1141434||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||15900||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||07/17/1992|07/22/1992|
108781|1152252||NC||NC||NC|NC|||24||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||2220||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| O EFCT CONT/MENDOTAE, REP EFCT// ||07/17/1992|07/24/1992|
109373|1023471||NR||NR||NR|NR|||24||NR||NR|h||EC50||INC|ITX||IMBL||NR|||NR||NR||NR||F|NR||14||NR||NR|mg/L||||||||||||||||||||||||||||--||||||||||||||||||NA|NA||NA||NA||NA||U||P||NR||NR||NR|NR|||NR||NR||NR|NR|||NR||NR||NR||NR||NR||NR||NR||NR| ||07/27/1992|11/15/2021|
110923|1144009||NC||NC||NC|NC|||96||NR||NR|h||LC50||INC|MOR||MORT/|TIME RESPONSE//|NR|||NR||NR||NR||T|NR||200000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||09/23/1992|12/18/1997|
111318|1146757||NC||NC||NC|NC|||12||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|Cu||80||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||09/24/1992||
111553|1033526||NC||NC||NC|NC|||48||NR||NR|h||LC50*||NR|MOR||MORT||NR|||NR||NR||NR||T|Zn||670||250||2460|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/LITCHFIELD, WILCOXON//||09/29/1992||
112412|1001107||NC||NC||NC|NC|||1||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||48000||43900||52300|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||10/05/1992||
112476|1052968||NC||NC||NC|NC|||24||NR||NR|h||LC50||INC|MOR||MORT||NR|||NR||NR||NR||A|NR||56800||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| O EFCT CONT/1,1,2-TRICHLOROETHYLENE IN-VITRO STUDIES,OC// 96 H EC50// ||08/09/1995|08/25/1995|
112575|1001197||NC||NC||NC|NC|||3||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||A|NR||30400||27900||33100|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||10/06/1992||
112707|1031621||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|Cd||6.2||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||10/06/1992||
113352|1001568||NC||NC||NC|NC|||NR||7||10|d||EC50||NR|REP/|/|GREP||NR|||NR||NR||NR||F|NR||2000||0||6000|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/PROGENY// ||10/08/1992||
115010|1141744||NC||NC||NC|NC|||96||NR||NR|h||EC50||NR|BEH||GBHV/|SURFACING; LOG PROBIT//|NR|||NR||NR||NR||T|Cu||260||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||06/07/1993|09/02/1994|
115621|1130680||NC||NC||NC|NC|||77||NR||NR|d||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||T|U||2260||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||M||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/39% MORT NS, P = 0.05//CONTR/48% MORT//||07/23/1993|07/23/1993|
115774|1051172||NC||NC||NC|NC|||48||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||D|NR||21||NR||NR|ug/L||T|NR||26||NR||NR|ug/L|||||||||||||NR||NR||NR|--|||NR||NR||NR|--||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||07/30/1993||
115809|1050328||NC||NC||NC|NC|||96||NR||NR|h||NR||NR|GEN/|/|GGEN||NR|||NR||NR||NR||T|NR||1||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/INC MICRONUCLEI FREQUENCY, P = 0.05// ||07/30/1993|08/10/1993|
117842|1042614||NC||NC||NC|NC|||96||NR||NR|h||LC50||INC|MOR||MORT||NR|||NR||NR||NR||A|NR||1760||1610||1930|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||M||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||11/26/1993|07/02/1996|
118068|1139965||NC||NC||NC|NC|||NR||12||14|d||EC50||NR|GRO||GGRO||NR|||NR||NR||NR||A|NR||8500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||P||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/GRO YIELD// ||11/30/1993|02/16/2006|
118941|1111033||NC||NC||NC|NC|||48||NR||NR|h||EC50||NR|PHY/|/|GPHY||NR|||NR||NR||NR||F|NR||3000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/CILIARY ACTIVITY// ||01/21/1994||
119008|1120701||NC||NC||NC|NC|||15||NR||NR|d||NR||NR|REP||GREP||NR|||NR||NR||NR||F|NR||NR||5||10|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||01/24/1994||
119441|1085533||NC||NC||NC|NC|||8||NR||NR|h||NR-LETH||NR|MOR||MORT||NR|||100||NR||NR||F|NR||1800||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NR||NA||NA||NA||U||R||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||02/02/1994||
119835|1100279||NC||NC||NC|NC|||96||NR||NR|h||LOEC||NR|MOR||MORT||NR|||NR||NR||NR||F|NR||2500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||03/03/1994|03/04/1994|
120052|1114462||NC||NC||NC|NC|||20||NR||NR|mi||NOEC/|/|NR|REP/|/|GREP||EG|||NR||NR||NR||T|NR||12.5||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/FERTILIZATION//ENDPT/DUNNETT'S//LIFESTG/SPERM (1H)// ||03/03/1994|03/09/1994|
120803|1103303||NC||NC||NC|NC|||48||NR||NR|h||LC50/|/|NR|MOR||MORT||NR|||NR||NR||NR||U|N||546||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ENDPT/PROBIT//||03/10/1994|03/11/1994|
122161|1086689||NC||NC||NC|NC|||96||NR||NR|h||LC50||NR|MOR||MORT||NR|||NR||NR||NR||T|NR||1000||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||03/30/1994|01/03/1995|
122600|1106922||NC||NC||NC|NC|||NR||10||120|h||NR||NR|MOR/|/|MORT||NR|||NR||NR||NR||T|Pb||NR||1000||50000|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/DEC % SURVIVAL//||04/20/1994||
122903|1120097||NC||NC||NC|NC|||21||NR||NR|d||NR||NR|PHY||RESP||NR|||NR||NR||NR||F|NR||NR||6.6||3034|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| CHAR/ZUR ANALYSE, WACKER TRI-L// ||04/22/1994||
125543|1154988||NC||NC||NC|NC|||2||NR||NR|h||NR||NR|BEH/|/|LOCO||NR|||NR||NR||NR||F|NR||NR||0.1||200|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NR|NR||NR||NR||NR||U||NR||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| EFCT/SWIMMING ACTIVITY, ACTIVITY LEVEL, ALPHA = 0.001, KRUSKAL-WALLIS//||06/06/1994|06/08/1994|
125727|1051677||NC||NC||NC|NC|||24||NR||NR|h||LOEC||NR|BEH||GBHV||NR|||NR||NR||NR||F|NR||13500||NR||NR|ug/L|||||||||||||||||||||||NR||NR||NR|--||||||||||||||||||NA|NA||NA||NA||NA||U||NC||NC||NC||NC|NC|||NC||NC||NC|NC|||NC||NC||NC||NC||NC||NC||NC||NC| ||06/08/1994|12/12/1995|
